"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"T1";"MINICKTS:minicircuits-CD542";1;"TRANSF_ADT2";;;
2;"U4";"CP_64_3-M";1;"AD9866BCPZ";;;
3;"R1";"Resistors_SMD:Resistor_SMD0805_ReflowWave";1;"1.6K";;;
4;"PAVDD1,P3,P5,P5V0,PDVDD1,RES_EXP#1,SP1,SP2,SP3";"Measurement_Points:Measurement_Point_Round-SMD-Pad_Small";9;"CONN_1";;;
5;"C1,C2,C7,C8,C12,C15,C17,C18,C19,C20,C24,C25,C27,C30,C31,C32,C34,C35,C36,C38,C39,C11,C13";"Capacitors_SMD:c_0805";23;"0.1UF";;;
6;"C3,C4,C9,C10,C14,C16,C21,C37";"Capacitors_SMD:c_0805";8;"1UF";;;
7;"C5,C6,C23,C28,C29,C33";"Capacitors_SMD:c_0805";6;"10UF";;;
8;"CN1";"BEMICRO:MEC6-140-02-X-D-RAX";1;"MEC6-140_CONNECTOR_BEMICRO";;;
9;"CON1";"USB:Micro_USB_B_oval_holes";1;"USB-MICRO-B";;;
10;"D1";"SOD:SOD323";1;"CDSOD323-T03C";;;
11;"FB1,FB2,FB3,FB4,FB5,FB6,FB7,FB8,FB9,FB10,FB11,FB12,FB13,FB14,FB15,FB16,FB17,FB18,FB19,FB20,FB21,FB22,FB23,FB24,FB25,FB26,FB27,FB28,FB29,FB30,FB31,FB32,FB33,FB34,FB35";"SMD_Packages:SM0805";35;"FB";;;
12;"P4";"Pin_Headers:Pin_Header_Straight_2x05";1;"CONN_5X2";;;
13;"P6,P7";"SMA_EDGE:SMA_EDGE";2;"Coaxial_Connector";;;
14;"P8,P1";"Pin_Headers:Pin_Header_Straight_1x02";2;"CONN_2";;;
15;"Q1";"SMD_Packages:SOT23";1;"Si2301";;;
16;"R2";"Resistors_SMD:Resistor_SMD0805_ReflowWave";1;"10K";;;
17;"R3";"Resistors_SMD:Resistor_SMD0805_ReflowWave";1;"200";;;
18;"R4";"Resistors_SMD:Resistor_SMD0805_ReflowWave";1;"DNI";;;
19;"T2";"MINICKTS:minicircuits-CD542";1;"TRANSF_ADT8";;;
20;"U1,U2,U5";"SMD_Packages:SOT223";3;"NCP1117ST33T3G";;;
21;"U3";"SILABS:Si510";1;"Si510";;;
22;"U6";"SMD_Packages:SOT23_6";1;"25AA02E48T-I/OT";;;
23;"P2";"Pin_Headers:Pin_Header_Straight_2x10";1;"CONN_10X2";;;
24;"P9,P10";"Measurement_Points:Measurement_Point_Round-SMD-Pad_Big";2;"CONN_1";;;
